factor,attribute_name,attribute_label,scoring_type,bin_start,bin_end,score
industry_outlook,industry_outlook_very_positive,Very Positive,lookup,,,10
industry_outlook,industry_outlook_positive,Positive,lookup,,,8
industry_outlook,industry_outlook_average,Average,lookup,,,5
industry_outlook,industry_outlook_negative,Negative,lookup,,,2
industry_outlook,industry_outlook_very_negative,Very Negative,lookup,,,0
customer_concentration,customer_concentration_highly_concentrated,Highly Concentrated,lookup,,,0
customer_concentration,customer_concentration_concentrated,Concentrated,lookup,,,2
customer_concentration,customer_concentration_average_concentration,Average Concentration,lookup,,,5
customer_concentration,customer_concentration_diversified,Diversified,lookup,,,8
customer_concentration,customer_concentration_highly_diversified,Highly Diversified,lookup,,,10
mkt_segment,mkt_segment_declining,Declining,lookup,,,0
mkt_segment,mkt_segment_stagnant_average,Stagnant/Average,lookup,,,3
mkt_segment,mkt_segment_high_growth,High Growth,lookup,,,8
mkt_segment,mkt_segment_very_high_growth,Very High Growth,lookup,,,10
mkt_competence,mkt_competence_very_high,Very High,lookup,,,10
mkt_competence,mkt_competence_high,High,lookup,,,8
mkt_competence,mkt_competence_moderate,Moderate,lookup,,,5
mkt_competence,mkt_competence_low,Low,lookup,,,2
mkt_competence,mkt_competence_very_low,Very Low,lookup,,,0
technology_employed,technology_employed_technologically_advanced,Technologically Advanced,lookup,,,10
technology_employed,technology_employed_in_line_with_industry_standards,In line with Industry Standards,lookup,,,8
technology_employed,technology_employed_below_industry_standards,Below Industry Standards,lookup,,,3
technology_employed,technology_employed_totally_outdated_technology,Totally Outdated Technology,lookup,,,0
promoter_track,promoter_track_outstanding,Outstanding,lookup,,,10
promoter_track,promoter_track_good,Good,lookup,,,8
promoter_track,promoter_track_average,Average,lookup,,,5
promoter_track,promoter_track_poor,Poor,lookup,,,0
capacity_utilisation,capacity_utilisation_high,High,lookup,,,10
capacity_utilisation,capacity_utilisation_in_line_with_industry,In line with Industry,lookup,,,7
capacity_utilisation,capacity_utilisation_moderately_low,Moderately Low,lookup,,,3
capacity_utilisation,capacity_utilisation_very_low,Very Low,lookup,,,0
cost_efficiency,cost_efficiency_highly_efficient,Highly efficient,lookup,,,10
cost_efficiency,cost_efficiency_in_line_with_industry,In line with industry,lookup,,,7
cost_efficiency,cost_efficiency_moderately_efficient,Moderately efficient,lookup,,,3
cost_efficiency,cost_efficiency_low_efficiency,Low efficiency,lookup,,,0
governmentPolicies,governmentPolicies_very_unfavourable,Very Unfavourable,lookup,,,0
governmentPolicies,governmentPolicies_unfavourable,Unfavourable,lookup,,,2
governmentPolicies,governmentPolicies_neutral,Neutral,lookup,,,5
governmentPolicies,governmentPolicies_favourable,Favourable,lookup,,,8
governmentPolicies,governmentPolicies_very_favourable,Very Favourable,lookup,,,10
other_financial_sources,other_financial_sources_all_of_the_above,All of the Above,lookup,,,10
other_financial_sources,other_financial_sources_3_of_the_above,3 of the Above,lookup,,,8
other_financial_sources,other_financial_sources_2_of_the_above,2 of the above,lookup,,,6
other_financial_sources,other_financial_sources_1_of_the_above,1 of the Above,lookup,,,3
other_financial_sources,other_financial_sources_none_of_the_above,None of the above,lookup,,,0
avg_net_sales_crores,avg_net_sales_crores_,,bin,0,50,2
avg_net_sales_crores,avg_net_sales_crores_,,bin,50,200,4
avg_net_sales_crores,avg_net_sales_crores_,,bin,200,400,6
avg_net_sales_crores,avg_net_sales_crores_,,bin,400,800,8
avg_net_sales_crores,avg_net_sales_crores_,,bin,800,10000000,10
avg_current_ratio,avg_current_ratio_,,bin,0,1,2
avg_current_ratio,avg_current_ratio_,,bin,1,1,4
avg_current_ratio,avg_current_ratio_,,bin,1,1,6
avg_current_ratio,avg_current_ratio_,,bin,1,2,8
avg_current_ratio,avg_current_ratio_,,bin,2,50,10
avg_cash_flow_td_net_cash_accruals_total_debt,avg_cash_flow_td_net_cash_accruals_total_debt_,,bin,0,0,2
avg_cash_flow_td_net_cash_accruals_total_debt,avg_cash_flow_td_net_cash_accruals_total_debt_,,bin,0,0,4
avg_cash_flow_td_net_cash_accruals_total_debt,avg_cash_flow_td_net_cash_accruals_total_debt_,,bin,0,0,6
avg_cash_flow_td_net_cash_accruals_total_debt,avg_cash_flow_td_net_cash_accruals_total_debt_,,bin,0,1,8
avg_cash_flow_td_net_cash_accruals_total_debt,avg_cash_flow_td_net_cash_accruals_total_debt_,,bin,1,10,10
avg_pat_margin_pat_operating_income,avg_pat_margin_pat_operating_income_,,bin,0,2,2
avg_pat_margin_pat_operating_income,avg_pat_margin_pat_operating_income_,,bin,2,5,4
avg_pat_margin_pat_operating_income,avg_pat_margin_pat_operating_income_,,bin,5,8,6
avg_pat_margin_pat_operating_income,avg_pat_margin_pat_operating_income_,,bin,8,12,8
avg_pat_margin_pat_operating_income,avg_pat_margin_pat_operating_income_,,bin,12,100,10
avg_interest_coverage_pbdit_interest_earned_interest_expense,avg_interest_coverage_pbdit_interest_earned_interest_expense_,,bin,0,2,2
avg_interest_coverage_pbdit_interest_earned_interest_expense,avg_interest_coverage_pbdit_interest_earned_interest_expense_,,bin,2,3,4
avg_interest_coverage_pbdit_interest_earned_interest_expense,avg_interest_coverage_pbdit_interest_earned_interest_expense_,,bin,3,6,6
avg_interest_coverage_pbdit_interest_earned_interest_expense,avg_interest_coverage_pbdit_interest_earned_interest_expense_,,bin,6,12,8
avg_interest_coverage_pbdit_interest_earned_interest_expense,avg_interest_coverage_pbdit_interest_earned_interest_expense_,,bin,12,100,10
avg_gearing_debt_tangible_net_worth,avg_gearing_debt_tangible_net_worth_,,bin,0,1,10
avg_gearing_debt_tangible_net_worth,avg_gearing_debt_tangible_net_worth_,,bin,1,1,8
avg_gearing_debt_tangible_net_worth,avg_gearing_debt_tangible_net_worth_,,bin,1,1,6
avg_gearing_debt_tangible_net_worth,avg_gearing_debt_tangible_net_worth_,,bin,1,2,4
avg_gearing_debt_tangible_net_worth,avg_gearing_debt_tangible_net_worth_,,bin,2,100,2
avg_average_cash_dscr_nca_interest_25_of_incremental_net_working_capital_other_than_cash_debt_payable_within_1_year_interest_finance_charges,avg_average_cash_dscr_nca_interest_25_of_incremental_net_working_capital_other_than_cash_debt_payable_within_1_year_interest_finance_charges_,,bin,0,1,2
avg_average_cash_dscr_nca_interest_25_of_incremental_net_working_capital_other_than_cash_debt_payable_within_1_year_interest_finance_charges,avg_average_cash_dscr_nca_interest_25_of_incremental_net_working_capital_other_than_cash_debt_payable_within_1_year_interest_finance_charges_,,bin,1,2,4
avg_average_cash_dscr_nca_interest_25_of_incremental_net_working_capital_other_than_cash_debt_payable_within_1_year_interest_finance_charges,avg_average_cash_dscr_nca_interest_25_of_incremental_net_working_capital_other_than_cash_debt_payable_within_1_year_interest_finance_charges_,,bin,2,3,6
avg_average_cash_dscr_nca_interest_25_of_incremental_net_working_capital_other_than_cash_debt_payable_within_1_year_interest_finance_charges,avg_average_cash_dscr_nca_interest_25_of_incremental_net_working_capital_other_than_cash_debt_payable_within_1_year_interest_finance_charges_,,bin,3,6,8
avg_average_cash_dscr_nca_interest_25_of_incremental_net_working_capital_other_than_cash_debt_payable_within_1_year_interest_finance_charges,avg_average_cash_dscr_nca_interest_25_of_incremental_net_working_capital_other_than_cash_debt_payable_within_1_year_interest_finance_charges_,,bin,6,100,10
avg_roce_pbit_total_debt_tangible_networth,avg_roce_pbit_total_debt_tangible_networth_,,bin,0,10,2
avg_roce_pbit_total_debt_tangible_networth,avg_roce_pbit_total_debt_tangible_networth_,,bin,10,14,4
avg_roce_pbit_total_debt_tangible_networth,avg_roce_pbit_total_debt_tangible_networth_,,bin,14,18,6
avg_roce_pbit_total_debt_tangible_networth,avg_roce_pbit_total_debt_tangible_networth_,,bin,18,20,8
avg_roce_pbit_total_debt_tangible_networth,avg_roce_pbit_total_debt_tangible_networth_,,bin,20,150,10
